"","rt","shape_org","cueType","e1_motion_dir","e2_motion_dir","responseAR","cuedAR","uncuedAR","coherence","cued_motion_dir","uncued_motion_dir","response_error","trial_number","round_number","sub","arDiff","pairAvg","cuedMotDir1V0H2R","global_org1W0B","sameDirection1S0D","sameDirection1S0D_R2","pairSameARCat","identicalShapesI1D0","randomTrialsR1C0","motionType1Diag0Trans","responseAR_normed","uncuedCat","cuedCat","respAcc","globalMotion"
"9491",3116,1,1,270,90,-0.56,0.23,0,1,270,90,-0.78764,82,1,18495,-0.23166,0.11583,1,0,0,0,0,0,0,0,-0.63011,"0",1,0,"1"
"9492",3501,1,1,180,0,0.09,0,0.23,1,180,0,0.09266,83,1,18495,0.23166,0.11583,0,0,0,0,0,0,0,0,-0.0308866666666666,"1",0,0,"-1"
"9494",2183,4,2,0,180,-0.14,0.28,0.23,1,180,0,-0.41699,85,1,18495,-0.04633,0.254825,0,1,0,0,1,0,0,0,-0.200774166666667,"1",1,0,"-1"
"9495",3993,2,1,0,270,0.28,-0.32,0.14,1,0,270,0.60231,86,1,18495,0.46331,-0.092665,0,0,0,0,0,0,0,1,0.447875,"1",-1,0,"-1"
"9496",5058,4,2,0,180,-0.46,0.19,0.09,1,180,0,-0.64865,87,1,18495,-0.09267,0.138995,0,1,0,0,1,0,0,0,-0.425411818181818,"1",1,0,"-1"
"9497",2793,4,1,180,90,-0.32,0.19,-0.09,1,180,90,-0.50965,88,1,18495,-0.27799,0.046335,0,1,0,0,0,0,0,0,-0.286411818181818,"-1",1,0,"-1"
"9498",2060,2,2,180,180,0.19,0.09,0.46,1,180,180,0.09266,89,1,18495,0.37066,0.27799,0,0,1,1,1,0,0,1,0.1737475,"1",1,1,"-1"
"9499",2491,1,1,270,270,0.23,0.28,0.32,1,270,270,-0.04633,90,1,18495,0.04633,0.301155,1,0,1,1,1,0,0,1,0.169885833333333,"1",1,1,"1"
"9501",2189,3,2,180,90,-0.09,-0.32,-0.42,1,90,180,0.23166,92,1,18495,-0.09267,-0.370655,1,1,0,0,1,0,0,0,0.077225,"-1",-1,1,"1"
"9503",3483,2,1,0,0,0.19,-0.19,0.23,1,0,0,0.37065,94,1,18495,0.41699,0.023165,0,0,1,1,0,0,0,1,0.0115875,"1",-1,0,"-1"
"9505",3146,4,1,180,180,-0.05,0.42,-0.09,1,180,180,-0.46332,96,1,18495,-0.50965,0.162165,0,1,1,1,0,0,0,1,-0.00661571428571429,"-1",1,0,"-1"
"9506",6209,1,2,180,0,0.09,-0.28,0.23,1,0,180,0.37065,97,1,18495,0.50965,-0.023165,0,0,0,0,0,0,0,0,0.37065,"1",-1,0,"-1"
"9507",3155,2,2,90,90,0.09,0.28,0.28,1,90,90,-0.18533,98,1,18495,0,0.27799,1,0,1,1,1,1,0,1,0.0308858333333333,"1",1,1,"1"
"9508",5527,4,2,90,0,0.23,0.32,0.46,1,0,90,-0.09266,99,1,18495,0.139,0.39382,0,1,0,0,1,0,0,0,0.222394,"1",1,1,"-1"
"9509",5614,1,2,90,90,0.23,0.09,-0.09,1,90,90,0.139,100,1,18495,-0.18532,0,1,0,1,1,0,0,0,1,0.2200775,"-1",1,1,"1"
"9510",5099,3,1,90,0,-0.28,-0.28,-0.28,1,90,0,0,101,1,18495,0,-0.27799,1,1,0,0,1,1,0,0,0,"-1",-1,1,"1"
"9512",1958,1,1,0,180,0.09,-0.32,-0.23,1,0,180,0.41699,103,1,18495,0.09266,-0.27799,0,0,0,0,1,0,0,0,0.262545,"-1",-1,0,"-1"
"9514",3531,4,1,0,270,-0.37,-0.23,-0.23,1,0,270,-0.139,105,1,18495,0,-0.23166,0,1,0,0,1,1,0,1,-0.447878333333333,"-1",-1,1,"-1"
"9516",1868,1,1,0,0,0,-0.14,0.14,1,0,0,0.139,107,1,18495,0.27799,-0.000005000000000005,0,0,1,1,0,0,0,1,-0.0926635714285714,"1",-1,0,"-1"
"9517",3400,1,2,270,0,0,0.09,-0.23,1,0,270,-0.09266,108,1,18495,-0.32432,-0.0695,0,0,0,0,0,0,0,1,-0.0115825,"-1",1,0,"-1"
"9521",2602,4,1,90,180,-0.14,-0.46,-0.19,1,90,180,0.32432,112,1,18495,0.27799,-0.324325,1,1,0,0,1,0,0,0,-0.134366,"-1",-1,1,"1"
"9523",1514,4,1,270,270,-0.05,0.19,0.19,1,270,270,-0.23166,114,1,18495,0,0.18533,1,1,1,1,1,1,0,1,-0.00842181818181818,"1",1,0,"1"
"9524",2691,3,2,90,0,-0.05,0.19,0.46,1,0,90,-0.23166,115,1,18495,0.27799,0.324325,0,1,0,0,1,0,0,0,-0.00842181818181818,"1",1,0,"-1"
"9526",2093,4,1,180,180,-0.09,-0.37,-0.37,1,180,180,0.27799,117,1,18495,0,-0.37066,0,1,1,1,1,1,0,1,-0.04632875,"-1",-1,1,"-1"
"9527",2192,4,1,180,90,-0.09,-0.05,0.05,1,180,90,-0.04633,118,1,18495,0.09266,0,0,1,0,0,0,0,0,0,-0.25813,"1",-1,1,"-1"
"9529",2962,3,2,180,270,0,-0.05,-0.19,1,270,180,0.04633,120,1,18495,-0.139,-0.11583,1,1,0,0,1,0,0,0,-0.16547,"-1",-1,0,"1"
"9532",3698,4,2,0,0,-0.14,-0.14,0.05,1,0,0,0,123,1,18495,0.18533,-0.046335,0,1,1,1,0,0,0,1,-0.231663571428571,"1",-1,1,"-1"
"9533",4886,4,1,270,90,-0.09,-0.14,-0.19,1,270,90,0.04633,124,1,18495,-0.04633,-0.162165,1,1,0,0,1,0,0,0,-0.185323571428571,"-1",-1,1,"1"
"9534",3410,3,1,0,0,-0.28,0.46,-0.42,1,0,0,-0.74131,125,1,18495,-0.88031,0.023165,0,1,1,1,0,0,0,1,-0.472584,"-1",1,0,"-1"
"9535",4440,3,1,0,0,0,0.37,0.46,1,0,0,-0.37065,126,1,18495,0.09267,0.416985,0,1,1,1,1,0,0,1,-0.138993333333333,"1",1,0,"-1"
"9536",3759,1,1,90,180,0.19,-0.37,0,1,90,180,0.55598,127,1,18495,0.37066,-0.18533,1,0,0,0,0,0,0,0,0.23166125,"0",-1,0,"1"
"9539",6549,2,1,180,180,0.19,-0.32,0.14,1,180,180,0.50965,130,1,18495,0.46331,-0.092665,0,0,1,1,0,0,0,1,0.355215,"1",-1,0,"-1"
"9540",2374,4,2,270,90,-0.09,-0.23,0,1,90,270,0.139,131,1,18495,0.23166,-0.11583,1,1,0,0,0,0,0,0,-0.169878333333333,"0",-1,1,"1"
"9541",3108,4,1,90,0,-0.23,0.37,0.42,1,90,0,-0.60231,132,1,18495,0.04634,0.39382,1,1,0,0,1,0,0,0,-0.370653333333333,"1",1,0,"1"
"9542",3985,2,1,0,0,0.19,-0.14,0.28,1,0,0,0.32432,133,1,18495,0.41699,0.069495,0,0,1,1,0,0,0,1,0.0926664285714286,"1",-1,0,"-1"
"9543",4048,4,1,0,90,-0.19,-0.23,0.46,1,0,90,0.04633,134,1,18495,0.69498,0.11583,0,1,0,0,0,0,0,0,-0.262548333333333,"1",-1,1,"-1"
"9544",3062,1,1,180,270,0.32,-0.28,0.19,1,180,270,0.60231,135,1,18495,0.46332,-0.04633,0,0,0,0,0,0,0,0,0.60231,"1",-1,0,"-1"
"9545",3273,4,1,270,0,-0.46,-0.46,-0.05,1,270,0,0,136,1,18495,0.41699,-0.254825,1,1,0,0,1,0,0,1,-0.458686,"-1",-1,1,"1"
"9546",3661,2,2,270,270,0.23,-0.42,-0.23,1,270,270,0.64865,137,1,18495,0.18533,-0.324325,1,0,1,1,1,0,0,1,0.150580833333333,"-1",-1,0,"1"
"9551",3328,4,2,180,0,0,0,0.42,1,0,180,0,142,1,18495,0.41699,0.208495,0,1,0,0,0,0,0,0,-0.123546666666667,"1",0,1,"-1"
"9553",2719,2,1,180,90,0.14,0.28,0.23,1,180,90,-0.139,144,1,18495,-0.04633,0.254825,0,0,0,0,1,0,0,0,0.0772158333333333,"1",1,1,"-1"
"9554",2061,1,1,270,90,0.46,0.23,0.19,1,270,90,0.23166,145,1,18495,-0.04633,0.208495,1,0,0,0,1,0,0,0,0.38919,"1",1,1,"1"
"9556",3791,4,1,0,270,-0.32,-0.32,0.05,1,0,270,0,0,1,19106,0.37065,-0.138995,0,1,0,0,0,0,0,1,-0.114043846153846,"1",-1,1,"-1"
"9557",1592,2,1,270,270,-0.28,-0.46,-0.42,1,270,270,0.18533,1,1,19106,0.04633,-0.440155,1,0,1,1,1,0,0,1,-0.02574,"-1",-1,1,"1"
"9558",2523,2,1,0,90,-0.28,-0.37,0.09,1,0,90,0.09266,2,1,19106,0.46332,-0.139,0,0,0,0,0,0,0,0,-0.06739,"1",-1,1,"-1"
"9561",1385,4,1,0,180,-0.19,-0.32,-0.32,1,0,180,0.139,5,1,19106,0,-0.32432,0,1,0,0,1,1,0,0,0.0249461538461539,"-1",-1,1,"-1"
"9562",1421,2,1,90,90,-0.23,-0.23,0.42,1,90,90,0,6,1,19106,0.64865,0.092665,1,0,1,1,0,0,0,1,-0.1158275,"1",-1,1,"1"
"9564",2672,2,1,180,0,-0.19,0,-0.46,1,180,0,-0.18533,8,1,19106,-0.46332,-0.23166,0,0,0,0,0,0,0,0,-0.39382,"-1",0,0,"-1"
"9565",1824,4,1,0,0,0.05,-0.14,0.32,1,0,0,0.18533,9,1,19106,0.46332,0.09266,0,1,1,1,0,0,0,1,0.231658,"1",-1,0,"-1"
"9566",3474,2,1,270,90,0.28,0.28,0.28,1,270,90,0,10,1,19106,0,0.27799,1,0,0,0,1,1,0,0,0.03475,"1",1,1,"1"
"9567",3244,1,2,180,270,0.23,0.14,0.14,1,270,180,0.09266,11,1,19106,0,0.13899,1,0,0,0,1,1,0,0,0.18533,"1",1,1,"1"
"9571",1634,3,1,90,90,-0.19,-0.32,0.14,1,90,90,0.139,15,1,19106,0.46331,-0.092665,1,1,1,1,0,0,0,1,0.0249461538461539,"1",-1,1,"1"
"9572",1990,2,1,90,180,-0.14,-0.42,-0.28,1,90,180,0.27799,16,1,19106,0.139,-0.34749,1,0,0,0,1,0,0,0,0.01853,"-1",-1,1,"1"
"9574",1902,2,2,0,90,0.19,0.37,0.09,1,90,0,-0.18533,18,1,19106,-0.27799,0.231655,1,0,0,0,1,0,0,0,-0.0968709090909091,"1",1,1,"1"
"9575",1713,1,2,270,0,-0.19,-0.32,-0.46,1,0,270,0.139,19,1,19106,-0.139,-0.39382,0,0,0,0,1,0,0,1,0.0249461538461539,"-1",-1,1,"-1"
"9576",2008,1,2,0,270,0.28,0.37,0.32,1,270,0,-0.09266,20,1,19106,-0.04633,0.347485,1,0,0,0,1,0,0,1,-0.00421090909090904,"1",1,1,"1"
"9577",2518,2,2,270,180,-0.28,-0.46,-0.32,1,180,270,0.18533,21,1,19106,0.139,-0.39382,0,0,0,0,1,0,0,0,-0.02574,"-1",-1,1,"-1"
"9578",2332,4,1,180,0,0.28,0.05,0.32,1,180,0,0.23166,22,1,19106,0.27799,0.185325,0,1,0,0,1,0,0,0,0.24903375,"1",1,1,"-1"
"9579",2257,3,2,0,0,-0.23,0,-0.28,1,0,0,-0.23166,23,1,19106,-0.27799,-0.138995,0,1,1,1,0,0,0,1,-0.44015,"-1",0,0,"-1"
"9580",1730,2,1,180,90,-0.19,-0.42,0.14,1,180,90,0.23166,24,1,19106,0.55598,-0.139,0,0,0,0,0,0,0,0,-0.0278,"1",-1,1,"-1"
"9583",2776,1,1,90,270,-0.28,-0.37,-0.37,1,90,270,0.09266,27,1,19106,0,-0.37066,1,0,0,0,1,1,0,0,-0.06739,"-1",-1,1,"1"
"9584",2135,3,2,0,180,0.19,-0.28,-0.37,1,180,0,0.46332,28,1,19106,-0.09267,-0.324325,0,1,0,0,1,0,0,0,0.308881111111111,"-1",-1,0,"-1"
"9586",1730,4,1,180,270,0.09,-0.37,0.32,1,180,270,0.46332,30,1,19106,0.69498,-0.02317,0,1,0,0,0,0,0,0,0.30326,"1",-1,0,"-1"
"9587",2603,1,1,270,270,0.23,0.14,-0.05,1,270,270,0.09266,31,1,19106,-0.18532,0.04633,1,0,1,1,0,0,0,1,0.18533,"-1",1,1,"1"
"9588",2525,3,1,180,0,-0.14,0.14,-0.42,1,180,0,-0.27799,32,1,19106,-0.55598,-0.139,0,1,0,0,0,0,0,0,-0.18533,"-1",1,0,"-1"
"9592",1877,4,1,180,90,-0.05,-0.14,-0.37,1,180,90,0.09266,36,1,19106,-0.23166,-0.25483,0,1,0,0,1,0,0,0,0.138998,"-1",-1,1,"-1"
"9593",4627,2,2,0,0,-0.23,-0.42,0.46,1,0,0,0.18533,37,1,19106,0.88031,0.023165,0,0,1,1,0,0,0,1,-0.07413,"1",-1,1,"-1"
"9595",1790,1,2,90,90,0.09,0.05,0.32,1,90,90,0.04633,39,1,19106,0.27799,0.185325,1,0,1,1,1,0,0,1,0.06370375,"1",1,1,"1"
"9596",1766,4,2,0,270,-0.19,-0.19,-0.42,1,270,0,0,40,1,19106,-0.23166,-0.30116,1,1,0,0,1,0,0,1,-0.0547572727272727,"-1",-1,1,"1"
"9597",2092,4,1,0,90,0.05,0.19,-0.23,1,0,90,-0.139,41,1,19106,-0.41699,-0.023165,0,1,0,0,0,0,0,0,-0.22651,"-1",1,1,"-1"
"9598",2430,1,2,270,180,-0.23,0.32,0.19,1,180,270,-0.55598,42,1,19106,-0.13899,0.254825,0,0,0,0,1,0,0,0,-0.2432425,"1",1,0,"-1"
"9599",3199,4,1,90,0,-0.09,-0.09,0.23,1,90,0,0,43,1,19106,0.32432,0.0695,1,1,0,0,0,0,0,0,-0.0205877777777778,"1",-1,1,"1"
"9601",1517,2,2,90,180,-0.19,-0.28,0.09,1,180,90,0.09266,45,1,19106,0.37065,-0.092665,0,0,0,0,0,0,0,0,-0.0617788888888889,"1",-1,1,"-1"
"9602",1601,3,2,90,180,0.05,0.46,0.37,1,180,90,-0.41699,46,1,19106,-0.09267,0.416985,0,1,0,0,1,0,0,0,-0.0884509090909091,"1",1,1,"-1"
"9603",2221,3,1,0,180,-0.14,-0.14,-0.28,1,0,180,0,47,1,19106,-0.13899,-0.208495,0,1,0,0,1,0,0,0,0.046328,"-1",-1,1,"-1"
"9604",3015,4,2,180,270,0.19,0.23,0,1,270,180,-0.04633,48,1,19106,-0.23166,0.11583,1,1,0,0,0,0,0,0,-0.0529485714285714,"0",1,1,"1"
